archivo,sistema,sede,anio,columna,registros,faltantes,porcentaje_faltantes,unicos_no_faltantes,tipo_inferido
clinica_espana_2023.csv,clinica,espana,2023,id_lab,1667,0,0.0,1250,text
clinica_espana_2023.csv,clinica,espana,2023,nombre_completo,1667,0,0.0,1496,text
clinica_espana_2023.csv,clinica,espana,2023,sexo,1667,0,0.0,2,text
clinica_espana_2023.csv,clinica,espana,2023,fecha_nacimiento,1667,0,0.0,1229,text
clinica_espana_2023.csv,clinica,espana,2023,edad,1667,0,0.0,97,numeric
clinica_espana_2023.csv,clinica,espana,2023,glucosa,1667,700,41.992,148,numeric
clinica_espana_2023.csv,clinica,espana,2023,colesterol_LDL,1667,700,41.992,178,numeric
clinica_espana_2023.csv,clinica,espana,2023,colesterol_HDL,1667,700,41.992,63,numeric
clinica_espana_2023.csv,clinica,espana,2023,trigliceridos,1667,700,41.992,368,numeric
clinica_espana_2023.csv,clinica,espana,2023,hemoglobina,1667,700,41.992,92,numeric
clinica_espana_2023.csv,clinica,espana,2023,frecuencia_card,1667,0,0.0,80,numeric
clinica_espana_2023.csv,clinica,espana,2023,presion_arterial,1667,0,0.0,868,text
clinica_espana_2023.csv,clinica,espana,2023,peso_kg,1667,0,0.0,674,numeric
clinica_espana_2023.csv,clinica,espana,2023,altura_cm,1667,0,0.0,43,numeric
clinica_espana_2023.csv,clinica,espana,2023,tipo_sangre,1667,0,0.0,8,text
clinica_espana_2023.csv,clinica,espana,2023,fumador,1667,0,0.0,2,numeric
clinica_espana_2023.csv,clinica,espana,2023,oxigenacion,1667,0,0.0,15,numeric
clinica_espana_2023.csv,clinica,espana,2023,fecha_estudios,1667,0,0.0,368,text
clinica_espana_2024.csv,clinica,espana,2024,id_lab,1667,0,0.0,1259,text
clinica_espana_2024.csv,clinica,espana,2024,nombre_completo,1667,0,0.0,1503,text
clinica_espana_2024.csv,clinica,espana,2024,sexo,1667,0,0.0,2,text
clinica_espana_2024.csv,clinica,espana,2024,fecha_nacimiento,1667,0,0.0,1242,text
clinica_espana_2024.csv,clinica,espana,2024,edad,1667,0,0.0,97,numeric
clinica_espana_2024.csv,clinica,espana,2024,glucosa,1667,688,41.272,141,numeric
clinica_espana_2024.csv,clinica,espana,2024,colesterol_LDL,1667,688,41.272,166,numeric
clinica_espana_2024.csv,clinica,espana,2024,colesterol_HDL,1667,688,41.272,63,numeric
clinica_espana_2024.csv,clinica,espana,2024,trigliceridos,1667,688,41.272,353,numeric
clinica_espana_2024.csv,clinica,espana,2024,hemoglobina,1667,688,41.272,89,numeric
clinica_espana_2024.csv,clinica,espana,2024,frecuencia_card,1667,0,0.0,80,numeric
clinica_espana_2024.csv,clinica,espana,2024,presion_arterial,1667,0,0.0,878,text
clinica_espana_2024.csv,clinica,espana,2024,peso_kg,1667,0,0.0,674,numeric
clinica_espana_2024.csv,clinica,espana,2024,altura_cm,1667,0,0.0,43,numeric
clinica_espana_2024.csv,clinica,espana,2024,tipo_sangre,1667,0,0.0,8,text
clinica_espana_2024.csv,clinica,espana,2024,fumador,1667,0,0.0,2,numeric
clinica_espana_2024.csv,clinica,espana,2024,oxigenacion,1667,0,0.0,15,numeric
clinica_espana_2024.csv,clinica,espana,2024,fecha_estudios,1667,0,0.0,369,text
